claim_id,claim_text,source_url,source_fact_checker,published_date,ground_truth_verdict,verdict_reasoning,language,topic_category
altnews_001,Noida protests: Several unrelated videos shared as scenes of violence during workers’ agitation,https://www.altnews.in/noida-protests-several-unrelated-videos-shared-as-scenes-of-violence-during-workers-agitation/,AltNews,2026-04-19,False,"the clip is from an incident that happened in Ambarnath, Maharashtra, in March",en,Social
altnews_002,"Nida Khan not an HR manager, held no leadership role: TCS refutes media reports",https://www.altnews.in/nida-khan-not-an-hr-manager-held-no-leadership-role-tcs-refutes-media-reports/,AltNews,2026-04-19,Unverifiable,"18th April 2026 / 9:47 am / Last updated: 18th April 2026
18th April 2026
Nida Khan not an HR manager, held no leadership role: TCS refutes media reports
Ankita Mahalanobish
&
Indradeep Bhattacharyya
Tata Consultancy Services (TCS) on Friday (April 17) said that Nida Khan — widely described in media",en,Other
altnews_003,Video of security movement in Manipur shared as CRPF entering Bengal to ‘protect Hindus’,https://www.altnews.in/video-of-security-movement-in-manipur-shared-as-crpf-entering-bengal-to-protect-hindus/,AltNews,2026-04-19,False,"17th April 2026 / 5:57 pm
Video of security movement in Manipur shared as CRPF entering Bengal to ‘protect Hindus’
by
Shinjinee Majumder
A video of a convoy of vehicles carrying security personnel is viral with the claim that the visuals are from West Bengal in the run-up to the assembly elections. ",en,Religion
altnews_004,Pakistani panelist insulted ABP anchor Chitra Tripathi on live show? Congress leaders share doctored video,https://www.altnews.in/congress-leaders-shared-an-edited-video-featuring-a-pakistani-panelists-remark-on-chitra-tripathis-makeup/,AltNews,2026-04-19,False,checking journalist and researcher at Alt News. He has a keen interest in information verification and technology.,en,Politics
altnews_005,CRPF in action in poll-bound Bengal? Old video from Bangladesh shared ly,https://www.altnews.in/did-west-bengal-crpf-catch-and-beat-goons-old-video-from-bangladesh-shared-with-false-claims/,AltNews,2026-04-19,False,"17th April 2026 / 10:02 am
CRPF in action in poll-bound Bengal? Old video from Bangladesh shared falsely
by
Pawan Kumar
A video purportedly from West Bengal is being widely shared on social media, showing security personnel dragging and assaulting young men.",en,Other
altnews_006,Trinamool MP Menaka Guruswamy did not represent R G Kar accused in court,https://www.altnews.in/trinamool-mp-menaka-guruswamy-did-not-represent-r-g-kar-accused-in-court/,AltNews,2026-04-19,False,"13th April 2026 / 5:14 pm / Last updated: 14th April 2026
14th April 2026
Trinamool MP Menaka Guruswamy did not represent R G Kar accused in court
by
Shinjinee Majumder
A collage of two AI-generated images — one of BJP’s candidate for the Panihati seat in Bengal polls and the other of advocate and T",en,Other
altnews_007,"“Others affected too, but Muslims disproportionately targeted in Bengal SIR. This can’t be random”",https://www.altnews.in/others-affected-too-but-muslims-disproportionately-targeted-in-bengal-sir-this-cant-be-random/,AltNews,2026-04-19,False,"13th April 2026 / 4:20 pm / Last updated: 13th April 2026
13th April 2026
“Others affected too, but Muslims disproportionately targeted in Bengal SIR. This can’t be random”
by
Anindya Hazra
Just before the assembly elections in West Bengal, Kerala, Tamil Nadu, Puducchery and other states in 2026, th",en,Religion
altnews_008,"Clash in Murshidabad? Old video from Varanasi given communal spin, ly linked to Bengal polls",https://www.altnews.in/clash-in-murshidabad-old-video-from-varanasi-given-communal-spin-falsely-linked-to-bengal-polls/,AltNews,2026-04-19,False,"10th April 2026 / 2:34 pm
Clash in Murshidabad? Old video from Varanasi given communal spin, falsely linked to Bengal polls
by
Prantik Ali
A video, around 21 seconds in length, is viral on social media, purporting to show a group of Hindu men thrash a Muslim man named Nazrul Islam in West Bengal’s M",en,Religion
altnews_009,Shashi Tharoor slammed Modi govt & praised Pak diplomacy? The video is AI-generated,https://www.altnews.in/shashi-tharoor-slammed-modi-govt-praised-pak-diplomacy-the-video-is-ai-generated/,AltNews,2026-04-19,False,"10th April 2026 / 10:13 am
Shashi Tharoor slammed Modi govt & praised Pak diplomacy? The video is AI-generated
by
Shinjinee Majumder
Following US President Donald Trump’s
announcement
of a suspension in attacks on Iran for two weeks, several pro-Pakistan accounts shared a video of Congress MP Shashi",en,Politics
altnews_010,From self-identification to state control: Trans voices raise alarm over new law,https://www.altnews.in/from-self-identification-to-state-control-trans-voices-raise-alarm-over-new-law/,AltNews,2026-04-19,False,"8th April 2026 / 7:06 pm / Last updated: 9th April 2026
9th April 2026
From self-identification to state control: Trans voices raise alarm over new law
by
Oishani Bhattacharya
The Transgender Persons (Protection of Rights) Amendment Bill, 2026, was passed in the Lok Sabha on March 24 and in the Rajy",en,Politics
