claim_id,ground_truth,config,score_l1,score_l2,score_l3,score_l4,score_l5,final_score
altnews_001,False,Full_System,26.88,100.0,12.5,50.0,40.0,41.53
altnews_001,False,No_L1,26.88,100.0,12.5,50.0,40.0,49.42
altnews_001,False,No_L2,26.88,100.0,12.5,50.0,40.0,26.91
altnews_001,False,No_L3,26.88,100.0,12.5,50.0,40.0,51.21
altnews_001,False,No_L4,26.88,100.0,12.5,50.0,40.0,40.59
altnews_001,False,No_L5,26.88,100.0,12.5,50.0,40.0,41.7
altnews_002,Unverifiable,Full_System,75.0,100.0,100.0,50.0,100.0,86.25
altnews_002,Unverifiable,No_L1,75.0,100.0,100.0,50.0,100.0,92.31
altnews_002,Unverifiable,No_L2,75.0,100.0,100.0,50.0,100.0,82.81
altnews_002,Unverifiable,No_L3,75.0,100.0,100.0,50.0,100.0,81.67
altnews_002,Unverifiable,No_L4,75.0,100.0,100.0,50.0,100.0,90.28
altnews_002,Unverifiable,No_L5,75.0,100.0,100.0,50.0,100.0,84.72
altnews_003,False,Full_System,75.0,100.0,100.0,50.0,100.0,86.25
altnews_003,False,No_L1,75.0,100.0,100.0,50.0,100.0,92.31
altnews_003,False,No_L2,75.0,100.0,100.0,50.0,100.0,82.81
altnews_003,False,No_L3,75.0,100.0,100.0,50.0,100.0,81.67
altnews_003,False,No_L4,75.0,100.0,100.0,50.0,100.0,90.28
altnews_003,False,No_L5,75.0,100.0,100.0,50.0,100.0,84.72
altnews_004,False,Full_System,20.0,100.0,0.0,50.0,0.0,32.0
altnews_004,False,No_L1,20.0,100.0,0.0,50.0,0.0,38.46
altnews_004,False,No_L2,20.0,100.0,0.0,50.0,0.0,15.0
altnews_004,False,No_L3,20.0,100.0,0.0,50.0,0.0,42.67
altnews_004,False,No_L4,20.0,100.0,0.0,50.0,0.0,30.0
altnews_004,False,No_L5,20.0,100.0,0.0,50.0,0.0,35.56
altnews_005,False,Full_System,68.12,100.0,87.5,50.0,100.0,80.72
altnews_005,False,No_L1,68.12,100.0,87.5,50.0,100.0,87.5
altnews_005,False,No_L2,68.12,100.0,87.5,50.0,100.0,75.9
altnews_005,False,No_L3,68.12,100.0,87.5,50.0,100.0,78.46
altnews_005,False,No_L4,68.12,100.0,87.5,50.0,100.0,84.13
altnews_005,False,No_L5,68.12,100.0,87.5,50.0,100.0,78.58
altnews_006,False,Full_System,40.62,100.0,37.5,50.0,100.0,58.59
altnews_006,False,No_L1,40.62,100.0,37.5,50.0,100.0,68.27
altnews_006,False,No_L2,40.62,100.0,37.5,50.0,100.0,48.24
altnews_006,False,No_L3,40.62,100.0,37.5,50.0,100.0,65.62
altnews_006,False,No_L4,40.62,100.0,37.5,50.0,100.0,59.55
altnews_006,False,No_L5,40.62,100.0,37.5,50.0,100.0,53.99
altnews_007,False,Full_System,47.5,100.0,50.0,50.0,100.0,64.12
altnews_007,False,No_L1,47.5,100.0,50.0,50.0,100.0,73.08
altnews_007,False,No_L2,47.5,100.0,50.0,50.0,100.0,55.16
altnews_007,False,No_L3,47.5,100.0,50.0,50.0,100.0,68.83
altnews_007,False,No_L4,47.5,100.0,50.0,50.0,100.0,65.69
altnews_007,False,No_L5,47.5,100.0,50.0,50.0,100.0,60.14
altnews_008,False,Full_System,47.5,100.0,50.0,50.0,100.0,64.12
altnews_008,False,No_L1,47.5,100.0,50.0,50.0,100.0,73.08
altnews_008,False,No_L2,47.5,100.0,50.0,50.0,100.0,55.16
altnews_008,False,No_L3,47.5,100.0,50.0,50.0,100.0,68.83
altnews_008,False,No_L4,47.5,100.0,50.0,50.0,100.0,65.69
altnews_008,False,No_L5,47.5,100.0,50.0,50.0,100.0,60.14
altnews_009,False,Full_System,75.0,100.0,100.0,50.0,100.0,86.25
altnews_009,False,No_L1,75.0,100.0,100.0,50.0,100.0,92.31
altnews_009,False,No_L2,75.0,100.0,100.0,50.0,100.0,82.81
altnews_009,False,No_L3,75.0,100.0,100.0,50.0,100.0,81.67
altnews_009,False,No_L4,75.0,100.0,100.0,50.0,100.0,90.28
altnews_009,False,No_L5,75.0,100.0,100.0,50.0,100.0,84.72
